words,cos_sim,target
act,0.8635131899337672,action
intend,0.810814188615669,action
issue,0.7895602374162041,action
argue,0.781505995690295,action
decision,0.7766933071886563,action
clear,0.7761596330540983,action
possible,0.7740725209902716,action
far,0.7730747439943818,action
response,0.7727286358407052,action
question,0.7725789128796919,action
policy,0.7713887360178321,action
public,0.7674414747385581,action
similar,0.7639152604832202,action
insist,0.7638764456603615,action
suggest,0.7630704715318424,action
believe,0.7623355000560395,action
effort,0.762254011990894,action
acknowledge,0.7621189473766574,action
seek,0.7607766661055669,action
consider,0.7595466939964713,action
respond,0.7588260212879563,action
direct,0.7577618512327858,action
call,0.7523072931804822,action
step,0.7480469062965243,action
agree,0.7471893227199701,action
appear,0.7450138854612842,action
rule,0.7435078972302539,action
support,0.7431584806057624,action
others,0.7418892540759313,action
challenge,0.7407570117274248,action
right,0.7388913304487454,action
administration,0.7388670777071017,action
reason,0.737586775876246,action
involve,0.7340401359583861,action
fail,0.7327882888933959,action
continue,0.7319400170045276,action
change,0.7275956147232853,action
promise,0.72722300140376,action
defend,0.7264656577109408,action
prompt,0.726087504520717,action
matter,0.7256042086216055,action
follow,0.7249884327905834,action
official,0.7247557511465199,action
law,0.7243939111149986,action
ignore,0.7243493504579727,action
aim,0.7243489417771929,action
focus,0.7242330225039478,action
will,0.7233887398660681,action
mean,0.7225569462670793,action
critic,0.7219165196174638,action
criticize,0.7204155248916712,action
statement,0.7197193514887096,action
concern,0.718958167353819,action
president,0.7180288492471409,action
kind,0.7161246907553406,action
give,0.7136330655751806,action
serious,0.7135987195809711,action
concerned,0.7135551556928647,action
fact,0.7127560816864041,action
effect,0.7124576710825019,action
deny,0.7123136212886549,action
responsible,0.7122824275925876,action
force,0.7119714627898878,action
think,0.7114068490623305,action
attempt,0.7103227779016463,action
approach,0.709639026630006,action
appropriate,0.7083994009236708,action
recent,0.7077716997697125,action
argument,0.7075782945870513,action
critical,0.7074386342191151,action
debate,0.705719392135219,action
push,0.7051211959976649,action
part,0.7046965934889394,action
happen,0.7042551256930647,action
fight,0.7042129952960503,action
take,0.7025773170663189,action
government,0.7021498744347466,action
conclude,0.7014078548115339,action
refer,0.6996939203746647,action
bring,0.6980143776526786,action
threat,0.696857661709814,action
draw,0.6961980663190386,action
result,0.6958594129513717,action
decide,0.6953940007225017,action
try,0.6953448970134644,action
put,0.694895961512503,action
talk,0.6936547425422666,action
set,0.693067571150414,action
hope,0.6919973667202773,action
face,0.69136248931002,action
controversial,0.6906617276473436,action
measure,0.6897951675041356,action
want,0.6897820328633198,action
cite,0.6879229703417753,action
ask,0.687739221470253,action
claim,0.6876907629465819,action
way,0.6870988403539461,action
role,0.6857493913566278,action
