##4113706,...2,...3
The,the,at
top,top,jj_nn1
U.S.,us,np1
general,general,nn1_jj
",",",",y
visiting,visit,vvg_jj
Israel,israel,np1
at,at,ii
a,a,at1
delicate,delicate,jj
and,and,cc
dangerous,dangerous,jj
moment,moment,nn1
in,in,ii
the,the,at
global,global,jj
standoff,standoff,nn1
with,with,iw
Tehran,tehran,np1
",",",",y
is,be,vbz
expected,expect,vvn_jj
to,to,to
press,press,vvi
for,for,if
restraint,restraint,nn1
amid,amid,ii
fears,fear,nn2
that,that,cst
the,the,at
Jewish,jewish,jj
state,state,nn1
is,be,vbz
nearing,near,vvg
a,a,at1
decision,decision,nn1
to,to,to
attack,attack,vvi
Iran,iran,np1
's,'s,ge
nuclear,nuclear,jj
program,program,nn1
.,.,y
#,#,fo
Thursday,thursday,npd1
's,'s,ge
arrival,arrival,nn1
of,of,io
Army,army,nn1
Gen.,gen,nnb
Martin,martin,np1
Dempsey,dempsey,np1
",",",",y
just,just,rr
four,four,mc
months,month,nnt2
after,after,cs
he,he,pphs1
took,take,vvd
office,office,nn1
as,as,csa_ii@
chairman,chairman,nn1
of,of,io
the,the,at
Joint,joint,jj
Chiefs,chief,nn2
of,of,io
Staff,staff,nn
",",",",y
underscores,underscore,vvz
Washington,washington,np1
's,'s,ge
concern,concern,nn1
about,about,ii
a,a,at1
possible,possible,jj
Israeli,israeli,jj_nn1
military,military,jj
strike,strike,nn1
.,.,y
#,#,fo
It,it,pph1_nn1@
also,also,rr
spotlights,spotlight,vvz@
key,key,jj
questions,question,nn2
at,at,ii
the,the,at
center,center,nn1
of,of,io
the,the,at
global,global,jj
maneuvering,maneuvering,nn1@_vvg_jj@
to,to,to
prevent,prevent,vvi
an,a,at1
Iranian,iranian,jj
bomb,bomb,nn1
:,:,y
#,#,fo
How,how,rrq_rgq@
effective,effective,jj
are,be,vbr
the,the,at
current,current,jj
economic,economic,jj
sanctions,sanction,nn2
in,in,ii
pressuring,pressure,vvg
Iran,iran,np1
's,'s,ge
leadership,leadership,nn1
?,?,y
Israel,israel,np1
wants,want,vvz
a,a,at1
far,far,rg
tougher,tough,jjr
regime,regime,nn1
",",",",y
while,while,cs
the,the,at
Americans,american,nn2
seem,seem,vv0
confident,confident,jj
the,the,at
current,current,jj
path,path,nn1
will,will,vm
suffice,suffice,vvi
.,.,y
#,#,fo
Could,could,vm
aerial,aerial,nn1_jj@
bombardment,bombardment,nn1
or,or,cc
missile,missile,nn1
strikes,strike,nn2_vvz
",",",",y
the,the,at
expected,expected,jj
Israeli,israeli,jj_nn1
military,military,jj
toolkit,toolkit,nn1
",",",",y
damage,damage,vv0_nn1
nuclear,nuclear,jj
installations,installation,nn2
deep,deep,rr
underground,underground,rl_jj
enough,enough,rr
to,to,to
be,be,vbi
worth,worth,ii
a,a,at1
counterstrike,counter-strike,nn1
from,from,ii
Iran,iran,np1
?,?,y
Some,some,dd
think,think,vv0
Israel,israel,np1
is,be,vbz
mainly,mainly,rr
saber-rattling,saber-rattling,jj
to,to,to
scare,scare,vvi
governments,government,nn2
into,into,ii
tougher,tough,jjr
sanctions,sanction,nn2
.,.,y
#,#,fo
Might,might,vm
covert,covert,jj
activity,activity,nn1
suffice,suffice,vv0
?,?,y
Iranian,iranian,jj
scientists,scientist,nn2
and,and,cc
military,military,jj
officials,official,nn2
have,have,vh0
been,be,vbn
killed,kill,vvn
",",",",y
computer,computer,nn1
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
@,NA,ii
and,and,cc
denials,denial,nn2
abound,abound,vv0
;,;,y
evidence,evidence,nn1
about,about,ii
who,who,pnqs
's,be,vbz
behind,behind,ii_rl@
it,it,pph1
all,all,rr@
does,do,vdz
not,not,xx
.,.,y
#,#,fo
Could,could,vm
Israel,israel,np1
really,really,rr
surprise,surprise,vvi
Washington,washington,np1
",",",",y
its,its,appge
main,main,jj
ally,ally,nn1
and,and,cc
protector,protector,nn1
",",",",y
with,with,iw
a,a,at1
military,military,jj
move,move,nn1_vv0
that,that,cst_dd1
could,could,vm
affect,affect,vvi
America,america,np1
itself,itself,ppx1
",",",",y
in,in,ii
an,a,at1
election,election,nn1
year,year,nnt1
to,to,to
boot,boot,vvi
?,?,y
Israeli,israeli,jj_nn1
officials,official,nn2
have,have,vh0
not,not,xx
pledged,pledge,vvn
to,to,to
give,give,vvi
advance,advance,nn1_jj@
warning,warning,nn1
.,.,y
#,#,fo
In,in,ii
the,the,at
background,background,nn1
",",",",y
rarely,rarely,rr
openly,openly,rr
discussed,discuss,vvn_vvd
",",",",y
is,be,vbz
the,the,at
somewhat,somewhat,rr
prickly,prickly,jj
relationship,relationship,nn1
between,between,ii
the,the,at
Obama,obama,np1_nn1@
administration,administration,nn1
and,and,cc
the,the,at
rightist,rightist,nn1
government,government,nn1
in,in,ii
Israel,israel,np1
.,.,y
The,the,at
antipathy,antipathy,nn1
",",",",y
born,born,vvn
largely,largely,rr
of,of,io
disagreements,disagreement,nn2
on,on,ii
the,the,at
Palestinian,palestinian,jj_nn1
front,front,nn1_jj
",",",",y
may,may,vm
not,not,xx
be,be,vbi
helping,help,vvg
navigate,navigate,vvi
a,a,at1
situation,situation,nn1
as,as,rg
delicate,delicate,jj
as,as,csa
Iran,iran,np1
.,.,y
#,#,fo
But,but,ccb
the,the,at
main,main,jj
thing,thing,nn1
for,for,if
Israel,israel,np1
is,be,vbz
the,the,at
